Player,Team,Position,Height,Weight,Age,School,PPG,RPG,APG,SPG,BPG,Headshot_URL
Malaki Branham,San Antonio Spurs,F,6-4,180,22.0,Ohio State,5.0,1.1,0.8,0.2,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631103.png
Devin Vassell,San Antonio Spurs,G-F,6-5,200,24.0,Florida State,16.3,4.0,2.9,1.3,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1630170.png
Riley Minix,San Antonio Spurs,F,6-7,230,24.0,Morehead State,0.0,2.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642434.png
Charles Bassey,San Antonio Spurs,C-F,6-10,230,24.0,Western Kentucky,4.4,4.2,0.5,0.4,0.8,https://cdn.nba.com/headshots/nba/latest/1040x760/1629646.png
Julian Champagnie,San Antonio Spurs,F,6-7,217,24.0,St. John's,9.9,3.9,1.4,0.7,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630577.png
Harrison Barnes,San Antonio Spurs,F,6-8,225,33.0,North Carolina,12.3,3.8,1.7,0.5,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/203084.png
Sandro Mamukelashvili,San Antonio Spurs,F-C,6-9,240,26.0,Seton Hall,6.3,3.1,0.8,0.4,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630572.png
Harrison Ingram,San Antonio Spurs,F,6-5,230,22.0,North Carolina,0.8,1.8,0.6,0.6,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631127.png
Shai Gilgeous-Alexander,Oklahoma City Thunder,G,6-6,195,26.0,Kentucky,32.7,5.0,6.4,1.7,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628983.png
Dillon Jones,Oklahoma City Thunder,F,6-5,235,23.0,Weber State,2.5,2.2,1.1,0.3,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641794.png
Luguentz Dort,Oklahoma City Thunder,G,6-4,220,26.0,Arizona State,10.1,4.1,1.6,1.1,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1629652.png
Jaylin Williams,Oklahoma City Thunder,F,6-9,240,23.0,Arkansas,5.9,5.6,2.6,0.5,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1631119.png
Chet Holmgren,Oklahoma City Thunder,C-F,7-1,208,23.0,Gonzaga,15.0,8.0,2.0,0.7,2.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1631096.png
Jalen Williams,Oklahoma City Thunder,G-F,6-5,211,24.0,Santa Clara,21.6,5.3,5.1,1.6,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1631114.png
Alex Caruso,Oklahoma City Thunder,G,6-5,186,31.0,Texas A&M,7.1,2.9,2.5,1.6,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1627936.png
Isaiah Joe,Oklahoma City Thunder,G,6-3,165,25.0,Arkansas,10.2,2.6,1.6,0.6,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1630198.png
Ousmane Dieng,Oklahoma City Thunder,F,6-9,185,22.0,New Zealand Breakers,3.8,2.2,0.8,0.5,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1631172.png
Adam Flagler,Oklahoma City Thunder,G,6-3,180,25.0,Baylor,1.8,0.7,0.3,0.2,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641745.png
Branden Carlson,Oklahoma City Thunder,C,7-0,220,26.0,Utah,3.8,1.7,0.4,0.2,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1642382.png
Aaron Wiggins,Oklahoma City Thunder,G,6-5,190,26.0,Maryland,12.0,3.9,1.8,0.8,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630598.png
Cason Wallace,Oklahoma City Thunder,G,6-3,195,21.0,Kentucky,8.4,3.4,2.5,1.8,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1641717.png
Ajay Mitchell,Oklahoma City Thunder,G,6-5,190,23.0,California-Santa Barbara,6.5,1.9,1.8,0.7,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1642349.png
Kenrich Williams,Oklahoma City Thunder,G-F,6-6,210,30.0,TCU,6.3,3.5,1.4,0.6,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1629026.png
Nikola Topić,Oklahoma City Thunder,G,6-6,200,19.0,Crvena zvezda,0.0,0.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642260.png
Isaiah Hartenstein,Oklahoma City Thunder,C-F,7-0,250,27.0,Zalgiris,11.2,10.7,3.8,0.8,1.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1628392.png
Alex Ducas,Oklahoma City Thunder,G,6-7,220,24.0,St. Mary's (CA),1.7,1.2,0.2,0.2,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642505.png
A.J. Lawson,Toronto Raptors,G,6-6,179,24.0,South Carolina,9.1,3.3,1.2,0.5,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630639.png
Gradey Dick,Toronto Raptors,G-F,6-6,200,21.0,Kansas,14.4,3.6,1.8,0.9,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641711.png
Jonathan Mogbo,Toronto Raptors,F,6-9,225,23.0,San Francisco,6.2,4.9,2.3,0.9,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1642367.png
Brandon Ingram,Toronto Raptors,F,6-8,190,27.0,Duke,22.2,5.6,5.2,0.9,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1627742.png
Scottie Barnes,Toronto Raptors,F-G,6-7,237,23.0,Florida State,19.3,7.7,5.8,1.4,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630567.png
Immanuel Quickley,Toronto Raptors,G,6-2,190,26.0,Kentucky,17.1,3.5,5.8,0.7,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1630193.png
Jared Rhoden,Toronto Raptors,G,6-5,210,25.0,Seton Hall,1.0,1.0,0.5,0.2,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631197.png
RJ Barrett,Toronto Raptors,F-G,6-6,214,25.0,Duke,21.1,6.3,5.4,0.8,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1629628.png
Colin Castleton,Toronto Raptors,C,6-10,250,25.0,Florida,1.4,0.9,0.0,0.1,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1630658.png
Ja'Kobe Walter,Toronto Raptors,G,6-5,180,20.0,Baylor,8.6,3.1,1.6,0.8,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1642266.png
Garrett Temple,Toronto Raptors,G-F,6-5,195,39.0,Louisiana State,1.9,1.0,1.1,0.6,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/202066.png
Jakob Poeltl,Toronto Raptors,C,7-0,260,29.0,Utah,14.5,9.6,2.8,1.2,1.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1627751.png
Ulrich Chomche,Toronto Raptors,C,6-11,235,19.0,NBA Global Academy,0.7,1.1,0.3,0.0,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1642279.png
Jamal Shead,Toronto Raptors,G,6-1,200,22.0,Houston,7.1,1.5,4.2,0.8,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1642347.png
Chris Boucher,Toronto Raptors,F,6-9,200,32.0,Oregon,10.0,4.5,0.7,0.5,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1628449.png
Ochai Agbaji,Toronto Raptors,G,6-5,215,25.0,Kansas,10.4,3.8,1.5,0.9,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1630534.png
Jamison Battle,Toronto Raptors,F,6-7,220,24.0,Ohio State,7.1,2.7,0.9,0.3,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1642419.png
Jordan Clarkson,Utah Jazz,G,6-3,194,33.0,Missouri,16.2,3.2,3.7,0.8,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/203903.png
Taylor Hendricks,Utah Jazz,F,6-9,215,21.0,Central Florida,4.7,5.0,0.7,1.7,1.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1641707.png
Collin Sexton,Utah Jazz,G,6-3,190,26.0,Alabama,18.4,2.7,4.2,0.7,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1629012.png
Keyonte George,Utah Jazz,G,6-4,185,21.0,Baylor,16.8,3.8,5.6,0.7,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641718.png
Cody Williams,Utah Jazz,F,6-7,190,20.0,Colorado,4.6,2.3,1.2,0.5,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1642262.png
Jaden Springer,Utah Jazz,G,6-4,202,22.0,Tennessee,1.7,0.9,0.4,0.5,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630531.png
Isaiah Collier,Utah Jazz,G,6-3,210,20.0,Southern California,8.7,3.3,6.3,0.9,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1642268.png
Elijah Harkless,Utah Jazz,G,6-3,195,25.0,UNLV,3.2,2.1,0.8,1.0,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641989.png
Svi Mykhailiuk,Utah Jazz,G-F,6-7,205,28.0,Kansas,8.8,2.4,2.0,0.5,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1629004.png
John Collins,Utah Jazz,F-C,6-9,226,27.0,Wake Forest,19.0,8.2,2.0,1.0,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628381.png
Kyle Filipowski,Utah Jazz,C,6-11,250,21.0,Duke,9.6,6.1,1.9,0.7,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1642271.png
Lauri Markkanen,Utah Jazz,F-C,7-0,240,28.0,Arizona,19.0,5.9,1.5,0.7,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1628374.png
Walker Kessler,Utah Jazz,C,7-0,245,23.0,Auburn,11.1,12.2,1.7,0.6,2.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1631117.png
Micah Potter,Utah Jazz,C,6-9,248,27.0,Wisconsin,4.3,4.3,0.8,0.4,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630695.png
Brice Sensabaugh,Utah Jazz,F,6-5,235,21.0,Ohio State,10.9,3.0,1.5,0.6,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641729.png
Johnny Juzang,Utah Jazz,G,6-5,226,24.0,UCLA,8.9,2.9,1.1,0.6,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1630548.png
Oscar Tshiebwe,Utah Jazz,F-C,6-8,255,25.0,Kentucky,7.6,8.7,0.6,0.9,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1631131.png
KJ Martin,Utah Jazz,F,6-6,215,24.0,IMG Academy (FL),6.4,3.0,0.8,0.5,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1630231.png
Zyon Pullin,Memphis Grizzlies,G,6-4,206,24.0,Florida,0.0,0.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642389.png
Jaylen Wells,Memphis Grizzlies,F,6-8,,21.0,Washington State,10.4,3.4,1.7,0.6,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1642377.png
Scotty Pippen Jr.,Memphis Grizzlies,G,6-1,170,24.0,Vanderbilt,9.9,3.3,4.4,1.3,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630590.png
Kentavious Caldwell-Pope,Memphis Grizzlies,G,6-5,204,32.0,Georgia,8.7,2.2,1.8,1.3,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/203484.png
Vince Williams Jr.,Memphis Grizzlies,G,6-4,205,24.0,Virginia Commonwealth,6.6,3.6,2.0,0.4,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1631246.png
Santi Aldama,Memphis Grizzlies,F-C,7-0,215,24.0,Loyola-Maryland,12.5,6.4,2.9,0.8,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630583.png
Lamar Stevens,Memphis Grizzlies,F,6-7,230,27.0,Penn State,4.4,2.2,0.5,0.3,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630205.png
Luke Kennard,Memphis Grizzlies,G,6-5,206,29.0,Duke,8.9,2.8,3.3,0.8,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1628379.png
Ja Morant,Memphis Grizzlies,G,6-2,174,25.0,Murray State,23.2,4.1,7.3,1.2,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1629630.png
Jaren Jackson Jr.,Memphis Grizzlies,F-C,6-10,242,25.0,Michigan State,22.2,5.6,2.0,1.2,1.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1628991.png
Zach Edey,Memphis Grizzlies,C,7-4,305,23.0,Purdue,9.2,8.3,1.0,0.5,1.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1641744.png
Brandon Clarke,Memphis Grizzlies,F,6-8,215,28.0,Gonzaga,8.3,5.1,1.0,0.8,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1629634.png
Yuki Kawamura,Memphis Grizzlies,G,5-8,159,24.0,Yokohama B-Corsairs (Japan),1.6,0.5,0.9,0.1,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642530.png
Cam Spencer,Memphis Grizzlies,G,6-4,205,25.0,Connecticut,4.2,1.2,1.4,0.4,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642285.png
Jay Huff,Memphis Grizzlies,C,7-1,240,27.0,Virginia,6.9,2.0,0.6,0.2,0.9,https://cdn.nba.com/headshots/nba/latest/1040x760/1630643.png
Marvin Bagley III,Memphis Grizzlies,F,6-10,235,26.0,Duke,4.9,2.9,0.4,0.4,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1628963.png
GG Jackson,Memphis Grizzlies,F,6-9,210,20.0,South Carolina,7.2,3.2,1.0,0.4,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641713.png
John Konchar,Memphis Grizzlies,G,6-5,210,29.0,Indiana-Purdue Fort Wayne,2.4,3.3,0.9,0.7,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1629723.png
Cole Anthony,Memphis Grizzlies,G,6-2,185,25.0,North Carolina,9.4,3.0,2.9,0.7,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1630175.png
Bilal Coulibaly,Washington Wizards,G,6-8,195,20.0,Metropolitans 92,12.3,5.0,3.4,1.3,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1641731.png
Tristan Vukcevic,Washington Wizards,F,7-0,220,22.0,Real Madrid,9.4,3.7,1.1,0.3,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1641774.png
Colby Jones,Washington Wizards,G,6-6,207,23.0,Xavier,1.1,1.0,0.3,0.2,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1641732.png
Jaylen Martin,Washington Wizards,G,6-6,216,21.0,Overtime Elite,1.0,0.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641798.png
AJ Johnson,Washington Wizards,G,6-5,160,20.0,Illawarra,2.9,1.0,1.0,0.1,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642358.png
Bub Carrington,Washington Wizards,G,6-4,190,19.0,Pittsburgh,9.8,4.2,4.4,0.7,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1642267.png
Justin Champagnie,Washington Wizards,G-F,6-6,206,24.0,Pittsburgh,8.8,5.7,1.0,1.0,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1630551.png
Jordan Poole,Washington Wizards,G,6-4,194,26.0,Michigan,20.5,3.0,4.5,1.3,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1629673.png
Saddiq Bey,Washington Wizards,G-F,6-7,215,26.0,Villanova,0.0,0.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630180.png
Malcolm Brogdon,Washington Wizards,G,6-4,229,32.0,Virginia,12.7,3.8,4.1,0.5,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1627763.png
Anthony Gill,Washington Wizards,F,6-8,230,32.0,Virginia,2.5,1.3,0.3,0.2,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630264.png
Kyshawn George,Washington Wizards,F,6-8,200,21.0,Miami,8.7,4.2,2.5,1.0,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1642273.png
Alex Sarr,Washington Wizards,C,7-0,205,20.0,Washington Wizards,13.0,6.5,2.4,0.7,1.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1642259.png
JT Thor,Washington Wizards,F,6-9,203,22.0,Auburn,3.1,0.7,0.1,0.2,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630550.png
Richaun Holmes,Washington Wizards,F,6-9,235,31.0,Bowling Green,7.4,5.7,1.4,0.3,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1626158.png
Corey Kispert,Washington Wizards,F,6-6,224,26.0,Gonzaga,11.6,3.0,1.7,0.4,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630557.png
Khris Middleton,Washington Wizards,F,6-7,222,33.0,Texas A&M,12.6,3.7,4.4,0.7,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/203114.png
Marcus Smart,Washington Wizards,G,6-3,220,31.0,Oklahoma State,8.7,2.3,3.7,1.2,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/203935.png
Jalen Duren,Detroit Pistons,C,6-10,250,21.0,Memphis,11.8,10.3,2.7,0.7,1.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1631105.png
Ronald Holland II,Detroit Pistons,F,6-8,206,19.0,NBA G League Ignite,6.4,2.7,1.0,0.6,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641842.png
Cade Cunningham,Detroit Pistons,G,6-6,220,23.0,Oklahoma State,26.1,6.1,9.1,1.0,0.8,https://cdn.nba.com/headshots/nba/latest/1040x760/1630595.png
Malik Beasley,Detroit Pistons,G,6-4,187,28.0,Florida State,16.3,2.6,1.7,0.9,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1627736.png
Paul Reed,Detroit Pistons,F,6-9,210,26.0,DePaul,4.1,2.7,1.0,0.9,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1630194.png
Tim Hardaway Jr.,Detroit Pistons,G-F,6-5,205,33.0,Michigan,11.0,2.4,1.6,0.5,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/203501.png
Ausar Thompson,Detroit Pistons,G-F,6-6,205,22.0,Overtime Elite,10.1,5.1,2.3,1.7,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1641709.png
Tobias Harris,Detroit Pistons,F,6-8,226,32.0,Tennessee,13.7,5.9,2.2,1.0,0.8,https://cdn.nba.com/headshots/nba/latest/1040x760/202699.png
Ron Harper Jr.,Detroit Pistons,G-F,6-4,233,25.0,Rutgers,4.0,7.0,2.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631199.png
Dennis Schröder,Detroit Pistons,G,6-1,175,31.0,Braunschweig,18.4,3.0,6.6,1.1,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/203471.png
Simone Fontecchio,Detroit Pistons,F,6-7,209,29.0,Baskonia,5.9,2.9,0.9,0.4,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1631323.png
Jaden Ivey,Detroit Pistons,G,6-4,195,23.0,Purdue,17.6,4.1,4.0,0.9,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1631093.png
Daniss Jenkins,Detroit Pistons,G,6-3,165,23.0,St. John's,1.0,0.3,0.4,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642450.png
Marcus Sasser,Detroit Pistons,G,6-2,195,24.0,Houston,6.6,1.2,2.3,0.6,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1631204.png
Isaiah Stewart,Detroit Pistons,F-C,6-8,250,24.0,Washington,6.0,5.5,1.7,0.4,1.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630191.png
Bobi Klintman,Detroit Pistons,F,6-9,225,22.0,Wake Forest,1.9,0.9,0.9,0.2,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641752.png
Tolu Smith,Detroit Pistons,F,6-11,,24.0,Mississippi State,14.0,8.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642449.png
Lindy Waters III,Detroit Pistons,F,6-6,210,27.0,Oklahoma State,5.5,2.5,1.1,0.6,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630322.png
Miles Bridges,Charlotte Hornets,F,6-7,225,27.0,Michigan State,20.3,7.5,3.9,0.7,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1628970.png
LaMelo Ball,Charlotte Hornets,G,6-7,180,23.0,Illawarra,25.2,4.9,7.4,1.1,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png
Grant Williams,Charlotte Hornets,F,6-6,236,26.0,Tennessee,10.4,5.1,2.3,1.1,0.8,https://cdn.nba.com/headshots/nba/latest/1040x760/1629684.png
DaQuan Jeffries,Charlotte Hornets,G-F,6-5,222,27.0,Tulsa,6.7,2.9,1.1,0.6,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1629610.png
Mark Williams,Charlotte Hornets,C,7-0,240,23.0,Duke,15.2,10.2,2.5,0.7,1.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1631109.png
Damion Baugh,Charlotte Hornets,G,6-4,194,24.0,TCU,7.3,3.3,3.7,1.0,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641878.png
Nick Smith Jr.,Charlotte Hornets,G,6-2,185,21.0,Arkansas,9.8,2.1,2.4,0.3,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641733.png
Wendell Moore Jr.,Charlotte Hornets,G,6-5,215,23.0,Duke,3.2,2.2,1.2,0.5,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1631111.png
Josh Green,Charlotte Hornets,G,6-5,200,24.0,Arizona,7.4,2.5,1.6,1.1,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630182.png
Jusuf Nurkić,Charlotte Hornets,C,7-0,290,30.0,Cedevita,8.6,9.2,1.9,0.9,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/203994.png
Josh Okogie,Charlotte Hornets,G,6-4,213,26.0,Georgia Tech,6.0,2.9,0.6,0.8,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1629006.png
Moussa Diabaté,Charlotte Hornets,F,6-9,210,23.0,Michigan,5.7,6.2,0.8,0.6,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1631217.png
Tre Mann,Charlotte Hornets,G,6-3,178,24.0,Florida,14.1,2.9,3.0,0.5,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630544.png
Brandon Miller,Charlotte Hornets,F,6-7,200,22.0,Alabama,21.0,4.9,3.6,1.1,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1641706.png
KJ Simpson,Charlotte Hornets,G,6-0,189,22.0,Colorado,7.8,3.0,3.1,0.9,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1642354.png
Seth Curry,Charlotte Hornets,G,6-1,185,34.0,Duke,6.5,1.7,0.9,0.4,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/203552.png
Tidjane Salaün,Charlotte Hornets,F,6-8,207,19.0,Cholet,5.9,4.7,1.2,0.5,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1642275.png
Taj Gibson,Charlotte Hornets,F,6-9,232,40.0,Southern California,2.9,3.2,0.6,0.2,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/201959.png
